"the_geom","Street","TrafDir","SegmentID","RW_TYPE","StreetWidt","Boro","Facility","Direction","Hours","Days","Days_Code","Lane_width","Lane_Type1","Lane_Type","Lane_Descr","Lane_Color","SBS_Route1","SBS_Route2","SBS_Route3","Open_dates","Year1","Year2","Year3","Last_Updat","Chron_ID_1","Shape_Leng","Shape_Le_1","Mid_Block"
"MULTILINESTRING ((-73.87527958321431 40.82198628950601, -73.87464087575893 40.8220823516935))","STORY AVENUE","T","9008410","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","180.208450591","MULTILINESTRING ((1018769.2902013361 238773.52742384374, 1018946.0172100961 238808.7786656767))",
"MULTILINESTRING ((-73.8659344181046 40.82325073106405, -73.86586464994286 40.823259985379046))","STORY AVENUE","T","9008985","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","19.6017650081","MULTILINESTRING ((1021355.076040253 239238.02944758534, 1021374.3804635853 239241.43068750203))",
"MULTILINESTRING ((-73.87464087575893 40.8220823516935, -73.87350169045116 40.82223110877394))","STORY AVENUE","T","0215648","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","319.919685297","MULTILINESTRING ((1018946.0172100961 238808.7786656767, 1019261.2344274223 238863.42947500944))",
"MULTILINESTRING ((-73.87350169045116 40.82223110877394, -73.8729914452015 40.8223016223114))","STORY AVENUE","T","0215649","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","143.539513736","MULTILINESTRING ((1019261.2344274223 238863.42947500944, 1019402.4188563377 238889.32443633676))",
"MULTILINESTRING ((-73.87663092609453 40.82180377530242, -73.87607564409574 40.821878066995836))","STORY AVENUE","T","0215681","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","156.052963281","MULTILINESTRING ((1018395.3683770001 238706.50131116807, 1018549.0176760107 238733.78537733853))",
"MULTILINESTRING ((-73.87607564409574 40.821878066995836, -73.87527958321431 40.82198628950601))","STORY AVENUE","T","0215682","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","223.82898761","MULTILINESTRING ((1018549.0176760107 238733.78537733853, 1018769.2902013361 238773.52742384374))",
"MULTILINESTRING ((-73.87940391052854 40.82143107188622, -73.87859303809272 40.82154080110364))","STORY AVENUE","T","0215708","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","227.962583721","MULTILINESTRING ((1017628.06544967 238569.6433171779, 1017852.4396728426 238609.93162241578))",
"MULTILINESTRING ((-73.87859303809272 40.82154080110364, -73.87848493326526 40.821555429266226))","STORY AVENUE","T","0215709","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","30.3916974432","MULTILINESTRING ((1017852.4396728426 238609.93162241578, 1017882.3529988378 238615.30267466605))",
"MULTILINESTRING ((-73.83013959526089 40.75957044588257, -73.82984159782288 40.75896228041565))","MAIN STREET","T","0091197","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","236.454442805","MULTILINESTRING ((1031306.9189974219 216054.33500142395, 1031389.9043957591 215832.9210741669))",
"MULTILINESTRING ((-73.83074355921944 40.760793690207, -73.83048331323228 40.76027105894416))","MAIN STREET","T","0091193","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","203.603547077","MULTILINESTRING ((1031138.7401999235 216499.6782708317, 1031211.2039657533 216309.40634167194))",
"MULTILINESTRING ((-73.83048331323228 40.76027105894416, -73.83013959526089 40.75957044588257))","MAIN STREET","T","0091195","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","272.438536031","MULTILINESTRING ((1031211.2039657533 216309.40634167194, 1031306.9189974219 216054.33500142395))",
"MULTILINESTRING ((-73.83048331323228 40.76027105894416, -73.83013959526089 40.75957044588257))","MAIN STREET","T","0091195","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","272.438536031","MULTILINESTRING ((1031211.2039657533 216309.40634167194, 1031306.9189974219 216054.33500142395))",
"MULTILINESTRING ((-73.83111884553036 40.76154813573542, -73.83074355921944 40.760793690207))","MAIN STREET","T","0091191","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","293.873555468","MULTILINESTRING ((1031034.2456582636 216774.34635667503, 1031138.7401999235 216499.6782708317))",
"MULTILINESTRING ((-73.82963621155525 40.75854977900431, -73.82797970014975 40.75763011620037))","KISSENA BOULEVARD","T","0091184","1","0","QNS","Kissena Bl","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","568.219714369","MULTILINESTRING ((1031447.0958824307 215682.74420917034, 1031906.6684540957 215348.57853892446))",
"MULTILINESTRING ((-73.82797970014975 40.75763011620037, -73.82709026024389 40.75714340245093))","KISSENA BOULEVARD","T","0091190","1","0","QNS","Kissena Bl","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","303.58432328","MULTILINESTRING ((1031906.6684540957 215348.57853892446, 1032153.4294435084 215171.7383414209))",
"MULTILINESTRING ((-74.01496125208953 40.70475979729913, -74.01516257034258 40.70480509460252))","BATTERY PLACE","T","0235148","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","58.2062598561","MULTILINESTRING ((980101.827838257 196039.82942683995, 980046.0129892528 196056.34218908846))",
"MULTILINESTRING ((-74.01496125208953 40.70475979729913, -74.01516257034258 40.70480509460252))","BATTERY PLACE","T","0235148","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","58.2062598561","MULTILINESTRING ((980101.827838257 196039.82942683995, 980046.0129892528 196056.34218908846))",
"MULTILINESTRING ((-73.86645328917865 40.8231818895377, -73.86635711151229 40.823194650713454))","STORY AVENUE","T","9004319","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","27.0219316229","MULTILINESTRING ((1021211.5074297637 239212.7286451757, 1021238.1192531735 239217.4185964167))",
"MULTILINESTRING ((-73.86635711151229 40.823194650713454, -73.86624477830412 40.82320955516365))","STORY AVENUE","T","9004320","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","31.5609431418","MULTILINESTRING ((1021238.1192531735 239217.4185964167, 1021269.2012120038 239222.89627575874))",
"MULTILINESTRING ((-73.86624477830412 40.82320955516365, -73.86616331659972 40.82322036295939))","STORY AVENUE","T","9004321","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","22.8872971186","MULTILINESTRING ((1021269.2012120038 239222.89627575874, 1021291.7411931753 239226.86838066578))",
"MULTILINESTRING ((-73.86616331659972 40.82322036295939, -73.86609135371793 40.8232299111277))","STORY AVENUE","T","9004322","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","20.2185647499","MULTILINESTRING ((1021291.7411931753 239226.86838066578, 1021311.6528987586 239230.3775600046))",
"MULTILINESTRING ((-73.86616331659972 40.82322036295939, -73.86609135371793 40.8232299111277))","STORY AVENUE","T","9004322","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","20.2185647499","MULTILINESTRING ((1021291.7411931753 239226.86838066578, 1021311.6528987586 239230.3775600046))",
"MULTILINESTRING ((-73.86609135371793 40.8232299111277, -73.86599369494432 40.823242866588764))","STORY AVENUE","T","9004323","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","27.4379020198","MULTILINESTRING ((1021311.6528987586 239230.3775600046, 1021338.67449826 239235.13903342187))",
